"millesimes";"name"
"1,5";"[equation] 2139B_EX>=2139B_EW"
"1,5";"[equation] 2139B_EY>=2139B_DH"
"1,5";"[equation] 2139B_EZ>=2139B_HJ"
"1,5";"[equation] 2139B_FB>=2139B_FA"
"1,5";"[equation] 2139B_FE>=2139B_DJ"
"1,5";"[equation] 2139B_FG>=2139B_DK"
"1,5";"[equation] 2139B_FP>=2139B_HK"
"1,5";"[equation] 2145_DA>=2145_AA"
"1,5";"[equation] 2145_DC>=2145_GF+2145_GG+2145_GH"
"1,5";"[equation] 2145_FC>=2145_GJ+2145_GK+2145_GL"
"1";"[equation] 2151TER_BL==2146_HQ"
"1";"[equation] 2151TER_BW==2146_HT"
"1";"[equation] 2151TER_BZ==2146_HU"
"1,5";"[equation] 2151TER_UR>=2151TER_AA+2151TER_AB"
"1,5";"[equation] 2151TER_UT>=2151TER_UU+2151TER_UV+2151TER_UW+2151TER_UX"
"1";"[equation] 2151TER_ZK==2146_FZ"
"1";"[equation] 2151TER_ZU==2146_GC"
"1";"[equation] 2151TER_ZX==2146_GD"
"1,5";"[equation] 2152_BZ==2152_GM"
"1,5";"[equation] 2777D_AA>=0"
"1,5";"[equation] 2777D_AB>=0"
"1,5";"[equation] 2777D_AC>=0"
"1,5";"[equation] 2777D_AE<=(2777D_AB+2777D_AC)"
"1,5";"[equation] 2777D_AE>=0"
"1,5";"[equation] 2777D_BE<=(2777D_BB+2777D_BC)"
"1,5";"[equation] 2777D_BE>=0"
"1,5";"[equation] 2777D_CA>=0"
"1,5";"[equation] 2777D_CB<=2777D_CA"
"1,5";"[equation] 2777D_CB>=0"
"1,5";"[equation] 2777D_CC>=0"
"1,5";"[equation] 2777D_CD<=2777D_CC"
"1,5";"[equation] 2777D_CD>=0"
"1,5";"[equation] 2777D_CE>=0"
"1,5";"[equation] 2777D_CF<=2777D_CE"
"1,5";"[equation] 2777D_CF>=0"
"1,5";"[equation] 2777D_CG>=0"
"1,5";"[equation] 2777D_CH<=2777D_CG"
"1,5";"[equation] 2777D_CH>=0"
"1,5";"[equation] 2777D_CI>=0"
"1,5";"[equation] 2777D_CJ<=2777D_CI"
"1,5";"[equation] 2777D_CJ>=0"
"1,5";"[equation] CALC219BF4_AB>=CALC219BF4_AC"
"1,5";"[equation] CALC219BF4_AE>=(CALC219BF4_AF+CALC219BF4_AG)"
"1";"[equation] DRESZFUVER_BF==#OPEOR((DRESZFUVER_BA+DRESZFUVER_BB-DRESZFUVER_BC);(DRESZFUVER_BA+DRESZFUVER_BE))#"
"1,2";"[equation] TEST_OC=#OPEOR(TEST_OA;TEST_OB;TEST_XD+TEST_ND)#"
"1,5";"[evaluate] 2027C_BC = 2027C_BA-2027C_BB"
"1,5";"[evaluate] 2027C_BF = 2027C_BD-2027C_BE"
"1,5";"[evaluate] 2027C_BJ = 2027C_BG-2027C_BH"
"1,5";"[evaluate] 2027C_BM = 2027C_BK-2027C_BL"
"1,5";"[evaluate] 2027C_BQ = 2027C_BN-2027C_BP"
"1,5";"[evaluate] 2027C_BT = 2027C_BR-2027C_BS"
"1,5";"[evaluate] 2027C_BW = 2027C_BU-2027C_BV"
"1,5";"[evaluate] 2027C_BZ = 2027C_BX-2027C_BY"
"1,5";"[evaluate] 2027C_CC = 2027C_CA-2027C_CB"
"1,5";"[evaluate] 2027C_CF = 2027C_CD-2027C_CE"
"1,5";"[evaluate] 2027C_CJ = 2027C_CG-2027C_CH"
"1,5";"[evaluate] 2027C_CM = 2027C_CK-2027C_CL"
"1,5";"[evaluate] 2027C_CQ = 2027C_CN-2027C_CP"
"1,5";"[evaluate] 2027C_CT = 2027C_CR-2027C_CS"
"1,5";"[evaluate] 2027C_CW = 2027C_CU-2027C_CV"
